pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
2,Arlington,Virginia,62018.0,103208.0,139244.0,214861.0,94454.0,0.06784266339248965
4,Marin,California,56791.0,90839.0,117357.0,254643.0,102912.0,0.08751703241726827
6,Pitkin,Colorado,51814.0,72745.0,93981.0,17173.0,7507.0,0.022957370480067123
7,Los Alamos,New Mexico,51044.0,106686.0,124979.0,17979.0,7590.0,0.032178966587902334
8,Fairfax,Virginia,50532.0,110292.0,128596.0,1101071.0,389908.0,0.10081176745197547
9,Hunterdon,New Jersey,50349.0,106143.0,125828.0,127047.0,46816.0,0.055325404324664026
10,Borden,Texas,50042.0,71607.0,76250.0,649.0,225.0,0.0729023652303455
11,Montgomery,Maryland,49038.0,98221.0,117408.0,989474.0,360563.0,0.09737932669017353
12,Morris,New Jersey,48814.0,98633.0,117683.0,495261.0,179665.0,0.07526914911456092
13,Fairfield,Connecticut,48721.0,82283.0,104250.0,926233.0,332655.0,0.0912297174221034
14,San Francisco,California,48486.0,75604.0,90116.0,817501.0,345344.0,0.08154416044028952
15,Howard,Maryland,48172.0,109865.0,128657.0,293821.0,106142.0,0.07480888922515598
16,Westchester,New York,47984.0,81946.0,105341.0,956283.0,343561.0,0.07426748061996068
17,Somerset,New Jersey,47803.0,99020.0,117393.0,326207.0,115531.0,0.059063955963593553
18,Nantucket,Massachusetts,47331.0,85478.0,92500.0,10224.0,4069.0,0.03793776184029249
19,Loudoun,Virginia,46565.0,122238.0,133550.0,326477.0,106997.0,0.08514859663395487
21,San Mateo,California,45732.0,88202.0,105844.0,729543.0,257941.0,0.07526827315950124
24,Goochland,Virginia,45039.0,80976.0,92042.0,21565.0,8058.0,0.05968840909157047
25,Norfolk,Massachusetts,44692.0,84916.0,108943.0,677296.0,257451.0,0.10059209785522245
27,Douglas,Colorado,43634.0,101591.0,112930.0,293014.0,103780.0,0.07161788701484147
28,Teton,Wyoming,43444.0,68078.0,83558.0,21575.0,7583.0,0.059694641121656816
29,Bergen,New Jersey,43347.0,83794.0,102222.0,912795.0,335422.0,0.09473287137953802
30,Middlesex,Massachusetts,42861.0,82090.0,104032.0,1522533.0,581120.0,0.09297359240244815
31,Monmouth,New Jersey,42749.0,84526.0,105971.0,629735.0,233909.0,0.08221406118769412
32,Summit,Utah,42462.0,83336.0,95879.0,37232.0,13627.0,0.04007119788744943
33,Nassau,New York,42400.0,97690.0,112874.0,1343765.0,441955.0,0.09302024488618922
34,Mineral,Colorado,42255.0,47083.0,68438.0,761.0,393.0,0.02315906757439991
35,Chester,Pennsylvania,42210.0,86050.0,105278.0,503075.0,184788.0,0.08791035867305974
36,Ozaukee,Wisconsin,42041.0,75457.0,92262.0,86708.0,34108.0,0.03312421239533103
37,Clear Creek,Colorado,41716.0,67259.0,89583.0,9048.0,4024.0,0.04126778220218958
38,Santa Clara,California,41513.0,91702.0,103983.0,1812208.0,609377.0,0.09926682703624741
39,Montgomery,Pennsylvania,41472.0,79183.0,99587.0,804621.0,307488.0,0.07918039868746034
40,Williamson,Tennessee,41292.0,89779.0,104796.0,188935.0,66364.0,0.0808317105432584
41,San Miguel,Colorado,40827.0,63594.0,77708.0,7496.0,3234.0,0.0390118300553783
42,Anne Arundel,Maryland,40415.0,87430.0,101268.0,544426.0,199904.0,0.09250021553286082
43,Putnam,New York,40309.0,95117.0,109188.0,99718.0,34496.0,0.057144969235025794
44,Newport,Rhode Island,40293.0,71713.0,88962.0,82545.0,34774.0,0.03338776075135208
45,Delaware,Ohio,40189.0,89757.0,103564.0,178139.0,64208.0,0.059143125522378576
46,Middlesex,Connecticut,39992.0,76994.0,98501.0,165690.0,66141.0,0.06087323818568175
47,King,Washington,39911.0,71811.0,92510.0,1974567.0,802606.0,0.07938630445680467
48,Fauquier,Virginia,39600.0,88409.0,103556.0,66015.0,23130.0,0.05009316175256242
49,Hamilton,Indiana,39521.0,82468.0,99768.0,282977.0,103234.0,0.07814969835106313
50,Eagle,Colorado,39497.0,74456.0,86167.0,52151.0,17966.0,0.06472399421378006
51,James City,Virginia,39133.0,76960.0,90406.0,68171.0,26883.0,0.03573152373195203
52,Bristol,Rhode Island,38893.0,71238.0,93131.0,49426.0,19174.0,0.03905817142974724
53,Johnson,Kansas,38827.0,74717.0,92512.0,552947.0,216304.0,0.07326548569971367
54,Clarke,Virginia,38748.0,77597.0,95654.0,14191.0,5580.0,0.05436620855220452
55,Williams,North Dakota,38738.0,76210.0,86285.0,25024.0,10411.0,0.03081993869457744
56,DuPage,Illinois,38570.0,78487.0,95208.0,922803.0,336028.0,0.07192141717232432
58,Rockingham,New Hampshire,38399.0,77348.0,93420.0,296718.0,116262.0,0.08290662906559354
59,Calvert,Maryland,38260.0,95477.0,107684.0,89332.0,30923.0,0.0698144733369768
60,Contra Costa,California,38219.0,78756.0,94208.0,1065794.0,375855.0,0.08782469547704173
61,Queen Anne's,Maryland,38108.0,87256.0,97909.0,48166.0,17292.0,0.061874401172220816
62,Gilpin,Colorado,38022.0,63885.0,87639.0,5477.0,2504.0,0.06585848650570797
63,Talbot,Maryland,38022.0,61597.0,74811.0,37859.0,16013.0,0.06642906883920997
64,Lake,Illinois,38018.0,77469.0,92116.0,702099.0,241072.0,0.0992477386216187
65,Boulder,Colorado,38011.0,67956.0,92667.0,301072.0,120521.0,0.0588560463006365
66,Billings,North Dakota,37972.0,57083.0,69167.0,876.0,350.0,0.04906964689785633
67,Sussex,New Jersey,37949.0,87335.0,100066.0,147924.0,54746.0,0.05548123616054561
68,Collin,Texas,37839.0,82762.0,97421.0,811308.0,289752.0,0.07051184717509427
69,San Juan,Washington,37719.0,53376.0,65067.0,15786.0,7753.0,0.03579994104759798
70,Litchfield,Connecticut,37667.0,71338.0,87945.0,188629.0,75755.0,0.06596246253362188
71,Waukesha,Wisconsin,37577.0,75850.0,92974.0,391200.0,153422.0,0.07141693373624372
73,Hennepin,Minnesota,37485.0,64403.0,84559.0,1170623.0,481263.0,0.09356220308826556
74,Boone,Indiana,37482.0,67255.0,80907.0,58009.0,21908.0,0.0741360088887821
75,Bucks,Pennsylvania,37466.0,76555.0,92907.0,625977.0,230366.0,0.08334318224779867
76,Mercer,New Jersey,37465.0,73480.0,94267.0,368094.0,130754.0,0.07542240528537102
77,Carver,Minnesota,37457.0,83773.0,96913.0,92770.0,33486.0,0.08103310566736044
78,Broomfield,Colorado,37442.0,77998.0,96787.0,57171.0,22016.0,0.05729104573379924
79,Prince William,Virginia,37401.0,98071.0,106544.0,416668.0,132442.0,0.09261637221317175
80,Charles,Maryland,37277.0,93160.0,104078.0,148957.0,51247.0,0.09031676682724497
81,Albemarle,Virginia,37239.0,67725.0,89889.0,100636.0,37964.0,0.07141497847630145
84,Washington,Rhode Island,37023.0,72138.0,91532.0,126627.0,49430.0,0.03949127365278373
85,Suffolk,New York,36945.0,87763.0,100652.0,1495803.0,497347.0,0.09078612348599423
86,Frederick,Maryland,36917.0,84570.0,98259.0,236668.0,86337.0,0.08352828614282864
87,St. Johns,Florida,36836.0,64876.0,80707.0,197115.0,75558.0,0.06957818466094587
88,Burlington,New Jersey,36835.0,78446.0,94324.0,449964.0,164979.0,0.08102928393120383
89,Fulton,Georgia,36757.0,56857.0,75658.0,948554.0,368184.0,0.09488350524007366
90,Washington,Minnesota,36706.0,81540.0,94263.0,241315.0,88947.0,0.07250214183088372
91,Stafford,Virginia,36574.0,97110.0,106322.0,131885.0,42178.0,0.0799453992764499
92,Rappahannock,Virginia,36505.0,56438.0,66773.0,7448.0,3261.0,0.06084210268565388
93,Oakland,Michigan,36458.0,65594.0,84182.0,1213406.0,486332.0,0.08180380574106602
94,Collier,Florida,36439.0,55843.0,65980.0,328209.0,122972.0,0.07264450098714115
95,York,Virginia,36373.0,82073.0,95392.0,65762.0,24071.0,0.04363595553320423
96,Hinsdale,Colorado,36365.0,56667.0,76000.0,809.0,388.0,0.027498703114437695
97,Divide,North Dakota,36303.0,55057.0,69632.0,2155.0,1035.0,0.007807199233165557
98,Anchorage,Alaska,36214.0,77454.0,90466.0,295237.0,105208.0,0.06947470368115463
99,Roberts,Texas,36172.0,67321.0,83333.0,1030.0,374.0,0.024911663864046103
100,Union,South Dakota,36167.0,63468.0,74758.0,14575.0,5758.0,0.059367914303149846
101,Carroll,Maryland,36153.0,84790.0,100643.0,167261.0,59909.0,0.07030937962690532
102,Barnstable,Massachusetts,36142.0,60526.0,76311.0,215449.0,95398.0,0.07567143721237404
103,Jefferson,Colorado,36087.0,68984.0,84957.0,540669.0,219562.0,0.08656594283239738
104,Elbert,Colorado,36077.0,82118.0,89653.0,23295.0,8240.0,0.03250011897715583
105,St. Mary's,Maryland,36017.0,85672.0,95186.0,107079.0,37589.0,0.07930434273178384
106,Sublette,Wyoming,35944.0,77900.0,85885.0,10178.0,3502.0,0.035058780007298194
107,Dallas,Iowa,35844.0,73847.0,90092.0,69526.0,26262.0,0.07989038309324258
108,Kendall,Texas,35827.0,73410.0,86750.0,34951.0,12760.0,0.02723434924773714
109,Alameda,California,35763.0,72112.0,88618.0,1535248.0,545071.0,0.08235516003031823
110,Blaine,Idaho,35524.0,64042.0,76575.0,21294.0,9207.0,0.060824440878327245
111,Scott,Minnesota,35467.0,86112.0,97693.0,132774.0,45630.0,0.06561773599640494
112,Harford,Maryland,35425.0,80622.0,92642.0,246664.0,90708.0,0.08963739432302117
113,Fayette,Georgia,35344.0,79977.0,91574.0,107105.0,37930.0,0.056806080387627786
115,Plymouth,Massachusetts,35220.0,75092.0,90431.0,497386.0,179617.0,0.07754094028618481
116,Saratoga,New York,35176.0,69826.0,87058.0,221169.0,88460.0,0.05437545254371658
117,Essex,Massachusetts,35167.0,67311.0,84185.0,750808.0,286008.0,0.1014189864713689
118,Platte,Missouri,35143.0,67721.0,83110.0,90842.0,36781.0,0.03494764029817336
119,Union,New Jersey,35089.0,68507.0,83164.0,540568.0,185483.0,0.09471409484630579
120,Placer,California,34886.0,72725.0,87352.0,355924.0,132709.0,0.06680272779298108
121,El Dorado,California,34884.0,69297.0,85253.0,180982.0,67885.0,0.03771885052513717
122,Routt,Colorado,34873.0,62002.0,74559.0,23409.0,9647.0,0.05155141216589025
123,Lincoln,South Dakota,34839.0,74751.0,85666.0,46693.0,17250.0,0.057714985596789614
124,Dakota,Minnesota,34828.0,73732.0,88889.0,402306.0,154275.0,0.07933770923338246
125,Napa,California,34795.0,70443.0,79700.0,137837.0,49431.0,0.06937967179700892
126,St. Louis,Missouri,34795.0,58910.0,75532.0,999725.0,403293.0,0.10454995326561908
127,Hartford,Connecticut,34698.0,64967.0,81805.0,895827.0,347874.0,0.07999337562119833
128,Rockwall,Texas,34617.0,86119.0,92837.0,81020.0,26820.0,0.05778372418357903
129,Rockland,New York,34591.0,84951.0,99649.0,315069.0,98326.0,0.08459209472870236
130,Forsyth,Georgia,34582.0,86569.0,99573.0,182916.0,58080.0,0.06566548411268822
131,Orange,North Carolina,34465.0,55569.0,84770.0,136057.0,51403.0,0.05325056778603878
132,Geauga,Ohio,34455.0,67663.0,81952.0,93610.0,34621.0,0.07183123170127811
133,Tolland,Connecticut,34392.0,80529.0,95996.0,152366.0,54327.0,0.04752098090962513
134,Hillsborough,New Hampshire,34390.0,69829.0,84430.0,402017.0,154324.0,0.075461513202908
135,Baltimore,Maryland,34374.0,66486.0,81116.0,812261.0,313912.0,0.0907525470902413
136,Middlesex,New Jersey,34345.0,79596.0,93519.0,817026.0,280988.0,0.09078738512107516
138,King George,Virginia,34234.0,81753.0,90752.0,24151.0,8314.0,0.048300688493337386
140,Douglas,Nevada,34123.0,60100.0,67597.0,47035.0,19455.0,0.03294122907454759
141,Fort Bend,Texas,34084.0,85297.0,94931.0,608939.0,191406.0,0.08997811136939696
142,Olmsted,Minnesota,34073.0,66252.0,83250.0,146063.0,57262.0,0.07803398760122428
144,Orange,California,34057.0,75422.0,84765.0,3051771.0,995512.0,0.1092722253268175
145,Martin,Florida,34057.0,49846.0,68003.0,147786.0,59891.0,0.08069014574280015
146,Summit,Colorado,34025.0,63697.0,79420.0,28091.0,11138.0,0.0529784576610733
147,Monroe,Florida,33974.0,53607.0,63550.0,74213.0,28503.0,0.04694584584001723
148,Denton,Texas,33855.0,74155.0,90086.0,687857.0,243394.0,0.06424952862984167
149,Campbell,Wyoming,33850.0,79488.0,84746.0,46901.0,17108.0,0.054311563068880894
150,Kent,Rhode Island,33814.0,62279.0,80038.0,165628.0,68880.0,0.0453795296439392
151,Mountrail,North Dakota,33803.0,68722.0,76282.0,8280.0,3069.0,0.030580391584322703
152,Oconee,Georgia,33801.0,75004.0,82625.0,33240.0,11485.0,0.04753661058412096
153,Dunn,North Dakota,33788.0,60500.0,76346.0,3786.0,1438.0,0.05054755513291751
154,New London,Connecticut,33782.0,66583.0,82076.0,274090.0,107066.0,0.06739391229429735
155,Dane,Wisconsin,33712.0,61721.0,83509.0,496762.0,206982.0,0.09083980646054708
156,Midland,Texas,33672.0,62993.0,72635.0,142289.0,50644.0,0.05992444408913271
157,Llano,Texas,33634.0,44094.0,60285.0,19223.0,8519.0,0.01803891830886629
158,Columbia,New York,33613.0,57336.0,72649.0,62674.0,25280.0,0.05713700449054997
159,Dutchess,New York,33594.0,72525.0,88777.0,297385.0,107830.0,0.07168691449689618
160,Oldham,Kentucky,33591.0,83391.0,91587.0,60940.0,19532.0,0.05582806087406251
161,Warren,New Jersey,33555.0,70912.0,85091.0,108150.0,41463.0,0.06970831457830758
162,Hanover,Virginia,33540.0,75070.0,88604.0,100328.0,36927.0,0.0853533094861049
163,Storey,Nevada,33472.0,61573.0,64173.0,3981.0,1843.0,0.05005138440066811
164,Dukes,Massachusetts,33363.0,66288.0,82452.0,16739.0,5891.0,0.033593094803297946
165,Towner,North Dakota,33357.0,55521.0,67969.0,2285.0,1034.0,0.03823321026232437
166,Shelby,Alabama,33313.0,68770.0,82558.0,198366.0,74144.0,0.05513114012144167
167,Chittenden,Vermont,33281.0,63989.0,83887.0,157637.0,62587.0,0.0663459164133098
168,Denver,Colorado,33251.0,50313.0,63705.0,619297.0,266069.0,0.08341298861240928
169,Washtenaw,Michigan,33231.0,59055.0,85115.0,348560.0,135800.0,0.07175666809681286
170,Travis,Texas,33206.0,58025.0,73951.0,1063248.0,411876.0,0.07002572595952444
171,Delaware,Pennsylvania,33179.0,64041.0,81523.0,559771.0,204771.0,0.08984296117469227
172,Warren,Ohio,33172.0,72487.0,85636.0,215274.0,76546.0,0.05888997006539965
173,Madison,Mississippi,33170.0,59904.0,73775.0,97151.0,36342.0,0.06438826562942121
174,Wake,North Carolina,33166.0,66006.0,83568.0,929214.0,348627.0,0.07771900238340526
175,Grand Isle,Vermont,33159.0,59509.0,69722.0,6984.0,3023.0,0.02079742037506553
176,Henrico,Virginia,33115.0,61048.0,75640.0,311314.0,123683.0,0.07272407452168157
177,McKenzie,North Dakota,33078.0,64866.0,77366.0,7377.0,2666.0,0.03155385507557716
178,Cobb,Georgia,33069.0,63920.0,78058.0,699235.0,261242.0,0.07791547952168691
179,Foster,North Dakota,33063.0,50677.0,68547.0,3355.0,1555.0,0.016819421186001896
180,Madison,Montana,33062.0,47762.0,61672.0,7702.0,3542.0,0.03729809451111762
181,Ouray,Colorado,33015.0,64601.0,72229.0,4475.0,1943.0,0.01555429283292453
182,Comal,Texas,32980.0,65839.0,77324.0,112083.0,41954.0,0.043922774511294914
183,Cape May,New Jersey,32948.0,56494.0,74112.0,96684.0,42312.0,0.07192870446415267
184,Ventura,California,32930.0,76544.0,86301.0,829017.0,267076.0,0.08254127414875037
185,Montgomery,Texas,32911.0,67766.0,79541.0,472162.0,163462.0,0.0852660905542874
186,Burke,North Dakota,32908.0,53693.0,70096.0,2094.0,1007.0,0.01758295245168078
187,Worcester,Maryland,32887.0,57952.0,68840.0,51479.0,20530.0,0.06755274563060266
188,Cumberland,Maine,32880.0,57461.0,75432.0,283046.0,117359.0,0.059740475329376215
189,Burleigh,North Dakota,32876.0,61811.0,82235.0,83906.0,34703.0,0.03238951338309141
190,Cook,Minnesota,32868.0,52215.0,59643.0,5195.0,2614.0,0.05444247330496131
191,Palm Beach,Florida,32858.0,52432.0,64260.0,1339221.0,526007.0,0.0795549093210796
192,Sonoma,California,32835.0,63356.0,75896.0,487469.0,185660.0,0.08566549600829157
193,Suffolk,Massachusetts,32835.0,53540.0,61449.0,735701.0,288240.0,0.1258213825358602
194,Clackamas,Oregon,32781.0,64352.0,76549.0,380532.0,146527.0,0.06503939171834217
195,Greeley,Kansas,32650.0,52847.0,58875.0,1202.0,493.0,0.03682997992752379
196,Hudson,New Jersey,32641.0,58442.0,62168.0,644605.0,243875.0,0.09474127360164102
197,Gloucester,New Jersey,32600.0,74524.0,87913.0,289098.0,104145.0,0.06962981501496807
198,Arapahoe,Colorado,32595.0,60651.0,73649.0,585333.0,225552.0,0.0844374392419215
200,Chesterfield,Virginia,32572.0,72088.0,83877.0,320430.0,113637.0,0.08423652810183097
201,New Haven,Connecticut,32523.0,61996.0,79408.0,862611.0,328013.0,0.09357702843631582
203,Beaufort,South Carolina,32503.0,57316.0,66878.0,165354.0,64417.0,0.05755477065732128
204,Botetourt,Virginia,32490.0,65935.0,74798.0,33076.0,12825.0,0.05145712293074412
205,Mecklenburg,North Carolina,32482.0,55444.0,68083.0,947135.0,366689.0,0.08595652758141271
206,New Castle,Delaware,32406.0,64537.0,79954.0,542784.0,200739.0,0.07707892953582893
207,Nevada,California,32346.0,57353.0,70148.0,98509.0,40991.0,0.05437966469370926
208,Prince George's,Maryland,32344.0,73623.0,84808.0,873481.0,303441.0,0.09220455747749698
209,McHenry,Illinois,32341.0,76145.0,87760.0,308060.0,108852.0,0.09076807201271193
210,Albany,New York,32328.0,59394.0,81846.0,305279.0,122700.0,0.06612307558359244
211,Sarasota,Florida,32313.0,49052.0,61339.0,383094.0,170555.0,0.06643144028493873
212,Santa Fe,New Mexico,32298.0,52917.0,64737.0,145400.0,61012.0,0.05114057772310099
213,Santa Cruz,California,32295.0,66519.0,80899.0,264808.0,93504.0,0.059499557700797394
214,Oliver,North Dakota,32253.0,71250.0,81500.0,1840.0,753.0,0.016305978830031567
215,St. Croix,Wisconsin,32220.0,68426.0,80740.0,84912.0,32114.0,0.047023315789585816
216,Essex,New Jersey,32181.0,55095.0,69448.0,785853.0,277302.0,0.07697167399781614
218,Livingston,Michigan,32129.0,72359.0,82959.0,182402.0,67691.0,0.046969835783604655
219,New Kent,Virginia,32068.0,70618.0,78995.0,18791.0,6886.0,0.04201903495073401
220,Bowman,North Dakota,32045.0,56964.0,76750.0,3168.0,1354.0,0.011468750685065
221,Richland,Montana,32036.0,58112.0,72115.0,10318.0,4270.0,0.03428093711721187
222,Cavalier,North Dakota,32028.0,55904.0,72946.0,3952.0,1754.0,0.048378769534232056
223,Washington,Wisconsin,32020.0,66159.0,79911.0,132186.0,52053.0,0.04207053423323854
224,LaMoure,North Dakota,31989.0,53691.0,65958.0,4136.0,1955.0,0.025521621249057668
225,Bottineau,North Dakota,31969.0,51667.0,71217.0,6529.0,3028.0,0.04399275015364997
227,Madison,Alabama,31933.0,58434.0,75766.0,339279.0,132975.0,0.05379709782253132
229,Cumberland,Pennsylvania,31791.0,60826.0,77057.0,237449.0,95286.0,0.0594189038031775
231,Dickinson,Iowa,31790.0,56136.0,64798.0,16818.0,7981.0,0.08945134681499808
232,Kitsap,Washington,31769.0,62413.0,74993.0,252687.0,97622.0,0.05706266189770718
233,Mercer,North Dakota,31767.0,66534.0,80827.0,8456.0,3650.0,0.027069093495177707
234,Monroe,Illinois,31758.0,68482.0,81766.0,33181.0,12506.0,0.06071812052411769
235,Roanoke,Virginia,31728.0,60795.0,75860.0,92824.0,37928.0,0.06449037133043926
236,Barnes,North Dakota,31721.0,50274.0,67150.0,11085.0,4871.0,0.039726756981871524
237,Lane,Kansas,31694.0,53021.0,64886.0,1616.0,808.0,0.018627634892717623
238,Grand,Colorado,31684.0,64664.0,74418.0,14535.0,5227.0,0.05865314934066474
239,Allegheny,Pennsylvania,31593.0,51366.0,70380.0,1226933.0,526004.0,0.06806662674890127
241,St. Charles,Missouri,31586.0,71077.0,83907.0,365101.0,135974.0,0.06555597269722913
242,Terrell,Texas,31578.0,39479.0,68750.0,837.0,403.0,0.023021743741249875
243,Carroll,New Hampshire,31558.0,50866.0,58867.0,47694.0,20922.0,0.03125879462844882
244,Worcester,Massachusetts,31537.0,65223.0,81519.0,802688.0,299663.0,0.10104962219062626
246,Park,Colorado,31504.0,61570.0,76104.0,16131.0,7038.0,0.045348783302118466
247,Kent,Maryland,31502.0,56259.0,72360.0,20130.0,7498.0,0.058323162344914616
248,Adams,North Dakota,31502.0,47798.0,65859.0,2328.0,1101.0,0.04956476104412317
249,Harris,Georgia,31482.0,69223.0,82259.0,32267.0,11426.0,0.0723170964110926
250,Leelanau,Michigan,31462.0,55018.0,66570.0,21682.0,9103.0,0.04860230431814164
251,Steele,North Dakota,31455.0,55735.0,67159.0,1976.0,890.0,0.055465816808785
252,Daniels,Montana,31449.0,46100.0,60000.0,1778.0,890.0,0.060162817044593746
253,Stark,North Dakota,31412.0,62559.0,75333.0,25666.0,10439.0,0.025606320004769853
254,Sheridan,Montana,31378.0,48667.0,68769.0,3473.0,1612.0,0.048515319897346414
255,Spotsylvania,Virginia,31360.0,78345.0,87374.0,124319.0,41709.0,0.08748246953661475
256,Snohomish,Washington,31349.0,68381.0,80856.0,724627.0,268722.0,0.1079737126947791
257,Mathews,Virginia,31342.0,55192.0,71441.0,8943.0,3856.0,0.02377500924840264
258,Merrimack,New Hampshire,31310.0,65353.0,80655.0,146710.0,56812.0,0.06494781879924574
259,Miner,South Dakota,31288.0,48477.0,60083.0,2355.0,1053.0,0.050976024391549885
260,Kendall,Illinois,31276.0,81765.0,91368.0,116366.0,38075.0,0.06395242525146702
262,Powhatan,Virginia,31252.0,76548.0,87045.0,28108.0,9544.0,0.042019979065672355
263,Piatt,Illinois,31190.0,63027.0,73890.0,16620.0,6546.0,0.02806897480464766
264,Renville,North Dakota,31178.0,60847.0,77143.0,2512.0,1041.0,0.04019381516092253
265,Chatham,North Carolina,31175.0,57091.0,66875.0,64886.0,26017.0,0.09668879455379728
266,Grundy,Iowa,31164.0,56827.0,70837.0,12416.0,5073.0,0.05623737773664186
267,Glasscock,Texas,31135.0,69107.0,98409.0,1176.0,409.0,0.04169226989200491
269,Washington,Oregon,31078.0,64180.0,76711.0,539608.0,201771.0,0.07865073286780945
270,Teller,Colorado,31075.0,59040.0,73379.0,23276.0,9434.0,0.026662927897807047
271,Williamson,Texas,31070.0,71803.0,82568.0,441445.0,154948.0,0.054193444359800357
272,McLean,North Dakota,30992.0,53565.0,67636.0,9163.0,4021.0,0.021618802148027253
273,Butler,Pennsylvania,30957.0,58230.0,74043.0,184535.0,73213.0,0.04758582986632631
274,Columbia,Georgia,30949.0,69306.0,77373.0,128213.0,43975.0,0.06854828023743945
275,Converse,Wyoming,30941.0,63918.0,75231.0,13937.0,5746.0,0.042302199062583236
276,Island,Washington,30941.0,58455.0,69775.0,78806.0,33096.0,0.059021321277767005
277,Stanley,South Dakota,30933.0,54620.0,61083.0,2966.0,1273.0,0.025067758795419087
278,Windsor,Vermont,30932.0,52460.0,70467.0,56416.0,25024.0,0.036051780424038934
279,Woodford,Illinois,30926.0,66639.0,78590.0,38903.0,14362.0,0.04838193277456404
280,Galveston,Texas,30926.0,61877.0,76204.0,296669.0,110032.0,0.07591033926153999
281,Audubon,Iowa,30919.0,48313.0,61845.0,6002.0,2684.0,0.051789809085544466
282,Isle of Wight,Virginia,30903.0,63942.0,77524.0,35373.0,13560.0,0.0652341763562003
283,Fluvanna,Virginia,30881.0,68288.0,79101.0,25860.0,9462.0,0.0563193739811922
284,Larimer,Colorado,30740.0,58626.0,76194.0,305798.0,121423.0,0.07630370092879292
285,Grafton,New Hampshire,30738.0,54912.0,71158.0,89166.0,35111.0,0.043200434670206185
286,Lancaster,Virginia,30737.0,49248.0,66189.0,11303.0,5182.0,0.04460599949617924
287,Medina,Ohio,30707.0,65951.0,77729.0,173252.0,65499.0,0.05567761385400593
288,Parker,Texas,30692.0,64515.0,78626.0,118478.0,42322.0,0.06503139246925053
289,San Diego,California,30668.0,62962.0,73495.0,3138265.0,1076483.0,0.11028982376380728
290,Door,Wisconsin,30657.0,50438.0,63361.0,27826.0,13459.0,0.05503969721809464
291,Anoka,Minnesota,30647.0,70380.0,81798.0,334027.0,122625.0,0.0870856994514093
292,Camden,New Jersey,30592.0,61683.0,77369.0,513512.0,187941.0,0.1040774527773631
293,Slope,North Dakota,30586.0,61667.0,74167.0,738.0,296.0,0.01427818782822181
294,Orange,New York,30583.0,70458.0,85100.0,373902.0,125317.0,0.08064072086570544
295,Indian River,Florida,30532.0,44772.0,56151.0,139356.0,58038.0,0.047008653656912
296,Middlesex,Virginia,30531.0,53309.0,64313.0,10851.0,4400.0,0.03509583633784489
297,Dare,North Carolina,30529.0,55481.0,64404.0,34289.0,14624.0,0.042871023009700165
298,Cass,North Dakota,30529.0,52590.0,74024.0,154080.0,65816.0,0.08439913721980043
299,Belknap,New Hampshire,30518.0,58654.0,67570.0,60216.0,25049.0,0.03334315901557355
300,Sweetwater,Wyoming,30517.0,71525.0,81595.0,44437.0,16682.0,0.0513909197805119
301,Ocean,New Jersey,30477.0,61136.0,76822.0,578902.0,221774.0,0.08560322435779326
302,Multnomah,Oregon,30475.0,52511.0,65897.0,747641.0,305939.0,0.08388006125059244
303,McLean,Illinois,30460.0,62089.0,83812.0,171240.0,64016.0,0.04387519671068069
304,Polk,Iowa,30442.0,59018.0,73043.0,438307.0,173164.0,0.0931462083926624
305,Ulster,New York,30442.0,58590.0,72632.0,182086.0,69862.0,0.07968568878308296
306,Hodgeman,Kansas,30440.0,52375.0,67000.0,1946.0,821.0,0.02649074860072664
307,Nelson,North Dakota,30432.0,49839.0,64792.0,3101.0,1474.0,0.05198231994716346
308,Jefferson,Montana,30397.0,60863.0,76469.0,11434.0,4527.0,0.019700079775934732
309,Will,Illinois,30377.0,76147.0,86747.0,679688.0,222652.0,0.08609264305946009
310,St. Tammany,Louisiana,30363.0,60799.0,74834.0,236832.0,87518.0,0.06935746776855155
311,Honolulu,Hawaii,30361.0,72764.0,85440.0,964678.0,309803.0,0.0770860687528076
312,Santa Barbara,California,30352.0,62779.0,72602.0,427288.0,141720.0,0.09001697544546956
313,Warren,New York,30351.0,55904.0,66622.0,65584.0,28081.0,0.06605572742538365
314,Hughes,South Dakota,30284.0,59338.0,83474.0,17238.0,6992.0,0.048533575962716666
315,Ness,Kansas,30223.0,48800.0,61940.0,3095.0,1340.0,0.03507430607186911
316,Sully,South Dakota,30218.0,54524.0,69345.0,1420.0,606.0,0.009539338490482411
317,Sarpy,Nebraska,30189.0,69965.0,80985.0,162728.0,59606.0,0.08148820887251743
318,Cook,Illinois,30183.0,54548.0,66187.0,5212372.0,1933335.0,0.13234618088570232
319,Charleston,South Carolina,30158.0,50792.0,65394.0,358736.0,143717.0,0.0786931634702362
320,La Plata,Colorado,30151.0,58080.0,67732.0,52039.0,20947.0,0.03423654036947759
321,Chambers,Texas,30140.0,72489.0,82601.0,35570.0,12147.0,0.048097380762565214
322,Gillespie,Texas,30117.0,53668.0,65457.0,25003.0,10655.0,0.0561967037870558
323,Thomas,Nebraska,30116.0,55089.0,63333.0,734.0,323.0,0.013551112181316792
324,Frederick,Virginia,30112.0,68424.0,76530.0,79453.0,29172.0,0.059210036307222526
325,Wheeler,Texas,30097.0,51766.0,63000.0,5526.0,2319.0,0.027920308634077132
326,Kane,Illinois,30082.0,69530.0,80085.0,518380.0,170358.0,0.09854779536998137
327,Hood,Texas,30046.0,55754.0,64873.0,51756.0,20758.0,0.0315142124342574
